  9.136533791114125E+016  -2426586641.81028       0.000000000000000E+000
  9.136533785548040E+016  -2391534499.97260        3041545765.44246     
  9.136533780108779E+016  -2331619272.25705        2157420619.76969     
  9.136533774793456E+016  -2279945900.63471        2326383119.58306     
  9.136533769599242E+016  -2227606983.74687        2215171338.49402     
  9.136533764523382E+016  -2176954335.15857        2180062183.48793     
  9.136533759563176E+016  -2127323582.18535        2126499373.87629     
  9.136533754715992E+016  -2078860047.27468        2078780294.01227     
  9.136533749979248E+016  -2031490623.65370        2031561108.03546     
  9.136533745350437E+016  -1985202061.24112        1984991764.72204     
  9.136533740827093E+016  -1939968442.52529        1940021494.03689     
  9.136533736406818E+016  -1895765075.66890        1895594711.75659     
  9.136533732087258E+016  -1852570868.50988        1852454650.94912     
  9.136533727866118E+016  -1810359517.15535        1810310311.04816     
  9.136533723741160E+016  -1769109469.78703        1769040345.42321     
  9.136533719710190E+016  -1728799955.72131        1728698320.06006     
  9.136533715771067E+016  -1689408575.24806        1689372022.92162     
  9.136533711921699E+016  -1650914498.57073        1650837441.44617     
  9.136533708160040E+016  -1613298492.85169        1613180016.81483     
  9.136533704484090E+016  -1576539615.09071        1576462702.14052     
  9.136533700891896E+016  -1540618000.92126        1540528949.06614     
  9.136533697381552E+016  -1505513264.13351        1505580587.35585     
  9.136533693951195E+016  -1471210192.31495        1470966846.30983     
  9.136533690598995E+016  -1437690059.93826        1437643336.75756     
  9.136533687323176E+016  -1404930524.96464        1404968259.94109     
  9.136533684122000E+016  -1372918894.40047        1372746147.30552     
  9.136533680993762E+016  -1341636650.98740        1341677850.72530     
  9.136533677936803E+016  -1311066430.30748        1310962484.01503     
  9.136533674949499E+016  -1281192080.84589        1281295687.28428     
  9.136533672030266E+016  -1251999776.75048        1251780017.93494     
  9.136533669177542E+016  -1223475589.25978        1223321848.21650     
  9.136533666389816E+016  -1195597428.00023        1195723005.58939     
  9.136533663665613E+016  -1168355126.66695        1168146986.85957     
  9.136533661003478E+016  -1141734387.28375        1141788808.75824     
  9.136533658402005E+016  -1115717184.37539        1115776897.24222     
  9.136533655859810E+016  -1090296204.01855        1090053363.16803     
  9.136533653375534E+016  -1065454168.98582        1065540631.87751     
  9.136533650947867E+016  -1041175870.83860        1041136765.00693     
  9.136533648575517E+016  -1017451954.34491        1017435806.25746     
  9.136533646257221E+016  -994270490.475409        994067045.566998     
  9.136533643991742E+016  -971617744.596825        971557868.931142     
  9.136533641777883E+016  -949477283.115610        949615084.635763     
  9.136533639614472E+016  -927843191.354339        927619136.611357     
  9.136533637500352E+016  -906701415.864876        906895798.644240     
  9.136533635434408E+016  -886041196.605699        885833521.346298     
  9.136533633415534E+016  -865852986.266249        865938622.968750     
  9.136533631442662E+016  -846125340.792191        845869369.582487     
  9.136533629514738E+016  -826846942.786634        826956504.792344     
  9.136533627630744E+016  -808005782.437794        807929367.244258     
  9.136533625789677E+016  -789596657.993808        789467869.061908     
  9.136533623990557E+016  -771604488.109224        771749370.586466     
  9.136533622232434E+016  -754023993.935119        753745928.880968     
  9.136533620514365E+016  -736843474.047952        737042786.767464     
  9.136533618835448E+016  -720052537.123817        719941021.409563     
  9.136533617194786E+016  -703646139.072691        703675565.264491     
  9.136533615591506E+016  -687615279.529477        687354779.924325     
  9.136533614024752E+016  -671946858.293201        672226054.909105     
  9.136533612493706E+016  -656633553.079166        656540639.131186     
  9.136533610997546E+016  -641671937.591343        641709220.803415     
  9.136533609535477E+016  -627051801.365049        626909787.849616     
  9.136533608106717E+016  -612767431.861452        612574058.155631     
  9.136533606710507E+016  -598803991.535876        599062109.184585     
  9.136533605346117E+016  -585159902.181068        584863323.749494     
  9.136533604012810E+016  -571827158.766120        572045987.620493     
  9.136533602709886E+016  -558797709.043926        558545912.073148     
  9.136533601436646E+016  -546065951.398027        546214639.617388     
  9.136533600192421E+016  -533622776.492269        533504999.728350     
  9.136533598976544E+016  -521464407.651937        521501437.032413     
  9.136533597788373E+016  -509581740.449648        509581806.857684     
  9.136533596627275E+016  -497971236.162763        497885306.335190     
  9.136533595492632E+016  -486624916.175726        486657996.888459     
  9.136533594383843E+016  -475536583.095403        475499256.795353     
  9.136533593300318E+016  -464701519.589694        464681279.866428     
  9.136533592241482E+016  -454113554.446641        454058028.408747     
  9.136533591206770E+016  -443766686.854884        443760754.107905     
  9.136533590195634E+016  -433655688.280521        433591193.190099     
  9.136533589207536E+016  -423774153.208130        423849738.513496     
  9.136533588241955E+016  -414117529.242007        414075198.246427     
  9.136533587298376E+016  -404681276.075797        404727715.202976     
  9.136533586376298E+016  -395461034.454926        395331436.337216     
  9.136533585475226E+016  -386451708.828350        386426104.640010     
  9.136533584594685E+016  -377644720.192428        377774243.399789     
  9.136533583734213E+016  -369037829.534776        369063195.368982     
  9.136533582893347E+016  -360631911.677369        360335424.043556     
  9.136533582071634E+016  -352415293.700194        352637259.065851     
  9.136533581268646E+016  -344385894.296642        344090086.955257     
  9.136533580483950E+016  -336538721.266359        336825105.374010     
  9.136533579717141E+016  -328868751.841681        328713769.047341     
  9.136533578967802E+016  -321376078.946820        321440724.242846     
  9.136533578235538E+016  -314052858.479193        314010036.679690     
  9.136533577519958E+016  -306897053.462531        306913744.456218     
  9.136533576820683E+016  -299905913.144392        299721745.287124     
  9.136533576137338E+016  -293071652.221817        293300999.663778     
  9.136533575469568E+016  -286392759.667790        286240115.387689     
  9.136533574817011E+016  -279868487.191040        279884300.522408     
  9.136533574179323E+016  -273490843.810265        273516809.975487     
  9.136533573556166E+016  -267259221.279553        267213773.847272     
