 -2.992321567128688E-026 -2.992321567128688E-026 -6.144946075353556E-027
 -3.022867613626007E-026 -3.022867613626007E-026 -6.207674563696264E-027
 -3.053721360978439E-026 -3.053721360978439E-026 -6.271034937723581E-027
 -3.084885885096615E-026 -3.084885885096615E-026 -6.335033514037692E-027
 -3.116364292676106E-026 -3.116364292676106E-026 -6.399676672459862E-027
 -3.148159721509028E-026 -3.148159721509028E-026 -6.464970856670325E-027
 -3.180275340798852E-026 -3.180275340798852E-026 -6.530922574854785E-027
 -3.212714351478459E-026 -3.212714351478459E-026 -6.597538400357553E-027
 -3.245479986531505E-026 -3.245479986531505E-026 -6.664824972341483E-027
 -3.278575511317041E-026 -3.278575511317041E-026 -6.732788996454639E-027
 -3.312004223897552E-026 -3.312004223897552E-026 -6.801437245503901E-027
 -3.345769455370363E-026 -3.345769455370363E-026 -6.870776560135567E-027
 -3.379874570202429E-026 -3.379874570202429E-026 -6.940813849522845E-027
 -3.414322966568650E-026 -3.414322966568650E-026 -7.011556092060621E-027
 -3.449118076693628E-026 -3.449118076693628E-026 -7.083010336067271E-027
 -3.484263367196985E-026 -3.484263367196985E-026 -7.155183700493808E-027
 -3.519762339442256E-026 -3.519762339442256E-026 -7.228083375640349E-027
 -3.555618529889358E-026 -3.555618529889358E-026 -7.301716623879932E-027
 -3.591835510450732E-026 -3.591835510450732E-026 -7.376090780389897E-027
 -3.628416888851183E-026 -3.628416888851183E-026 -7.451213253890823E-027
 -3.665366308991396E-026 -3.665366308991396E-026 -7.527091527393046E-027
 -3.702687451315263E-026 -3.702687451315263E-026 -7.603733158950986E-027
 -3.740384033180981E-026 -3.740384033180981E-026 -7.681145782425230E-027
 -3.778459809236023E-026 -3.778459809236023E-026 -7.759337108252546E-027
 -3.816918571795966E-026 -3.816918571795966E-026 -7.838314924223858E-027
 -3.855764151227252E-026 -3.855764151227252E-026 -7.918087096270250E-027
 -3.895000416333926E-026 -3.895000416333926E-026 -7.998661569257169E-027
 -3.934631274748379E-026 -3.934631274748379E-026 -8.080046367786850E-027
 -3.974660673326124E-026 -3.974660673326124E-026 -8.162249597009005E-027
 -4.015092598544695E-026 -4.015092598544695E-026 -8.245279443439997E-027
 -4.055931076906666E-026 -4.055931076906666E-026 -8.329144175790475E-027
 -4.097180175346851E-026 -4.097180175346851E-026 -8.413852145801569E-027
 -4.138844001643761E-026 -4.138844001643761E-026 -8.499411789089868E-027
 -4.180926704835266E-026 -4.180926704835266E-026 -8.585831626000991E-027
 -4.223432475638635E-026 -4.223432475638635E-026 -8.673120262472197E-027
 -4.266365546874933E-026 -4.266365546874933E-026 -8.761286390903879E-027
 -4.309730193897780E-026 -4.309730193897780E-026 -8.850338791040083E-027
 -4.353530735026611E-026 -4.353530735026611E-026 -8.940286330858219E-027
 -4.397771531984429E-026 -4.397771531984429E-026 -9.031137967468025E-027
 -4.442456990340086E-026 -4.442456990340086E-026 -9.122902748019817E-027
 -4.487591559955212E-026 -4.487591559955212E-026 -9.215589810622309E-027
 -4.533179735435723E-026 -4.533179735435723E-026 -9.309208385269789E-027
 -4.579226056588083E-026 -4.579226056588083E-026 -9.403767794779100E-027
 -4.625735108880308E-026 -4.625735108880308E-026 -9.499277455736348E-027
 -4.672711523907727E-026 -4.672711523907727E-026 -9.595746879453369E-027
 -4.720159979863634E-026 -4.720159979863634E-026 -9.693185672934249E-027
 -4.768085202014830E-026 -4.768085202014830E-026 -9.791603539851883E-027
 -4.816491963182102E-026 -4.816491963182102E-026 -9.891010281534676E-027
 -4.865385084225749E-026 -4.865385084225749E-026 -9.991415797963593E-027
 -4.914769434536098E-026 -4.914769434536098E-026 -1.009283008877949E-026
 -4.964649932529196E-026 -4.964649932529196E-026 -1.019526325430103E-026
 -5.015031546147664E-026 -5.015031546147664E-026 -1.029872549655324E-026
 -5.065919293366719E-026 -5.065919293366719E-026 -1.040322712030666E-026
 -5.117318242705543E-026 -5.117318242705543E-026 -1.050877853412746E-026
 -5.169233513743944E-026 -5.169233513743944E-026 -1.061539025143846E-026
 -5.221670277644421E-026 -5.221670277644421E-026 -1.072307289159122E-026
 -5.274633757679700E-026 -5.274633757679700E-026 -1.083183718094938E-026
 -5.328129229765724E-026 -5.328129229765724E-026 -1.094169395398318E-026
 -5.382162023000252E-026 -5.382162023000252E-026 -1.105265415437552E-026
 -5.436737520207112E-026 -5.436737520207112E-026 -1.116472883613960E-026
 -5.491861158486042E-026 -5.491861158486042E-026 -1.127792916474812E-026
 -5.547538429768385E-026 -5.547538429768385E-026 -1.139226641827436E-026
 -5.603774881378525E-026 -5.603774881378525E-026 -1.150775198854518E-026
 -5.660576116601215E-026 -5.660576116601215E-026 -1.162439738230607E-026
 -5.717947795254872E-026 -5.717947795254872E-026 -1.174221422239840E-026
 -5.775895634270781E-026 -5.775895634270781E-026 -1.186121424894893E-026
 -5.834425408278448E-026 -5.834425408278448E-026 -1.198140932057181E-026
 -5.893542950197063E-026 -5.893542950197063E-026 -1.210281141558325E-026
 -5.953254151833096E-026 -5.953254151833096E-026 -1.222543263322868E-026
 -6.013564964484229E-026 -6.013564964484229E-026 -1.234928519492297E-026
 -6.074481399549556E-026 -6.074481399549556E-026 -1.247438144550355E-026
 -6.136009529146207E-026 -6.136009529146207E-026 -1.260073385449667E-026
 -6.198155486732447E-026 -6.198155486732447E-026 -1.272835501739699E-026
 -6.260925467737243E-026 -6.260925467737243E-026 -1.285725765696041E-026
 -6.324325730196494E-026 -6.324325730196494E-026 -1.298745462451066E-026
