  2.698794302801852E-007  5.542166871825233E-008
  2.761720930612953E-007  5.671391196794455E-008
  2.826114791082235E-007  5.803628588829590E-008
  2.892010095008285E-007  5.938949302249157E-008
  2.959441850866248E-007  6.077425229457474E-008
  3.028445883406820E-007  6.219129939139007E-008
  3.099058852688893E-007  6.364138715343263E-008
  3.171318273555967E-007  6.512528597481002E-008
  3.245262535566681E-007  6.664378421253006E-008
  3.320930923390064E-007  6.819768860533167E-008
  3.398363637676297E-007  6.978782470228109E-008
  3.477601816414140E-007  7.141503730136181E-008
  3.558687556786307E-007  7.308019089829025E-008
  3.641663937534439E-007  7.478417014579650E-008
  3.726575041845550E-007  7.652788032361396E-008
  3.813465980772072E-007  7.831224781942648E-008
  3.902382917198011E-007  8.013822062103058E-008
  3.993373090363869E-007  8.200676881997232E-008
  4.086484840963400E-007  8.391888512692698E-008
  4.181767636825544E-007  8.587558539909598E-008
  4.279272099195145E-007  8.787790917990030E-008
  4.379050029626458E-007  8.992692025125763E-008
  4.481154437503690E-007  9.202370719873651E-008
  4.585639568203225E-007  9.416938398988766E-008
  4.692560931912488E-007  9.636509056606002E-008
  4.801975333120739E-007  9.861199344801518E-008
  4.913940900797511E-007  1.009112863556632E-007
  5.028517119274640E-007  1.032641908422471E-007
  5.145764859848417E-007  1.056719569433157E-007
  5.265746413118496E-007  1.081358638408263E-007
  5.388525522080901E-007  1.106572205427328E-007
  5.514167415992572E-007  1.132373665784189E-007
  5.642738845025532E-007  1.158776727103457E-007
  5.774308115729052E-007  1.185795416622930E-007
  5.908945127318632E-007  1.213444088645791E-007
  6.046721408811131E-007  1.241737432166572E-007
  6.187710157025715E-007  1.270690478674924E-007
  6.331986275470845E-007  1.300318610141334E-007
  6.479626414137961E-007  1.330637567189046E-007
  6.630709010223004E-007  1.361663457456510E-007
  6.785314329797357E-007  1.393412764154815E-007
  6.943524510450453E-007  1.425902354824647E-007
  7.105423604926571E-007  1.459149490297421E-007
  7.271097625779115E-007  1.493171833865354E-007
  7.440634591066024E-007  1.527987460665344E-007
  7.614124571110617E-007  1.563614867281645E-007
  7.791659736352726E-007  1.600072981572435E-007
  7.973334406315492E-007  1.637381172725503E-007
  8.159245099713876E-007  1.675559261548385E-007
  8.349490585731533E-007  1.714627530998440E-007
